path,filename,extension,size_bytes,modified_date,guessed_content_type
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_25.html,15_9_19_A_1997_08_25.html,.html,14417,2026-09-11T23:06:18.781954,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_26.html,15_9_19_A_1997_08_26.html,.html,17944,2026-09-11T23:06:22.412220,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_27.html,15_9_19_A_1997_08_27.html,.html,12195,2026-09-11T23:06:25.887584,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_28.html,15_9_19_A_1997_08_28.html,.html,16709,2026-09-11T23:06:30.033208,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_29.html,15_9_19_A_1997_08_29.html,.html,16988,2026-09-11T23:06:33.381352,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_30.html,15_9_19_A_1997_08_30.html,.html,14981,2026-09-11T23:06:36.524655,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_31.html,15_9_19_A_1997_08_31.html,.html,16417,2026-09-11T23:06:39.716227,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_01.html,15_9_19_A_1997_09_01.html,.html,15547,2026-09-11T23:06:43.275641,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_02.html,15_9_19_A_1997_09_02.html,.html,17167,2026-09-11T23:06:46.577105,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_03.html,15_9_19_A_1997_09_03.html,.html,17319,2026-09-11T23:06:49.491018,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_04.html,15_9_19_A_1997_09_04.html,.html,10796,2026-09-11T23:06:52.664168,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_05.html,15_9_19_A_1997_09_05.html,.html,9610,2026-09-11T23:06:55.985888,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_06.html,15_9_19_A_1997_09_06.html,.html,9610,2026-09-11T23:06:59.510551,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_07.html,15_9_19_A_1997_09_07.html,.html,9610,2026-09-11T23:07:02.850035,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_08.html,15_9_19_A_1997_09_08.html,.html,9610,2026-09-11T23:07:05.642245,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_09.html,15_9_19_A_1997_09_09.html,.html,9610,2026-09-11T23:07:08.736414,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_10.html,15_9_19_A_1997_09_10.html,.html,9610,2026-09-11T23:07:11.666850,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_11.html,15_9_19_A_1997_09_11.html,.html,9610,2026-09-11T23:07:14.563479,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_12.html,15_9_19_A_1997_09_12.html,.html,9610,2026-09-11T23:07:17.756719,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_13.html,15_9_19_A_1997_09_13.html,.html,9610,2026-09-11T23:07:20.831645,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_14.html,15_9_19_A_1997_09_14.html,.html,9610,2026-09-11T23:07:23.874795,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_15.html,15_9_19_A_1997_09_15.html,.html,9610,2026-09-11T23:07:26.827476,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_16.html,15_9_19_A_1997_09_16.html,.html,9610,2026-09-11T23:07:30.246126,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_17.html,15_9_19_A_1997_09_17.html,.html,9610,2026-09-11T23:07:33.500528,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_18.html,15_9_19_A_1997_09_18.html,.html,9610,2026-09-11T23:07:36.606424,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_19.html,15_9_19_A_1997_09_19.html,.html,9602,2026-09-11T23:07:39.993854,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_20.html,15_9_19_A_1997_09_20.html,.html,9602,2026-09-11T23:07:42.884636,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_21.html,15_9_19_A_1997_09_21.html,.html,9602,2026-09-11T23:07:45.844771,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_22.html,15_9_19_A_1997_09_22.html,.html,9602,2026-09-11T23:07:48.795791,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_23.html,15_9_19_A_1997_09_23.html,.html,9602,2026-09-11T23:07:51.834010,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_24.html,15_9_19_A_1997_09_24.html,.html,9598,2026-09-11T23:07:54.665381,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_25.html,15_9_19_A_1997_09_25.html,.html,9598,2026-09-11T23:07:57.840272,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_26.html,15_9_19_A_1997_09_26.html,.html,9598,2026-09-11T23:08:01.240224,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_27.html,15_9_19_A_1997_09_27.html,.html,9598,2026-09-11T23:08:04.306769,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_28.html,15_9_19_A_1997_09_28.html,.html,9598,2026-09-11T23:08:07.407536,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_29.html,15_9_19_A_1997_09_29.html,.html,9596,2026-09-11T23:08:10.515168,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_09_30.html,15_9_19_A_1997_09_30.html,.html,9597,2026-09-11T23:08:13.460462,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_01.html,15_9_19_A_1997_10_01.html,.html,9598,2026-09-11T23:08:16.620455,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_02.html,15_9_19_A_1997_10_02.html,.html,9596,2026-09-11T23:08:21.095192,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_03.html,15_9_19_A_1997_10_03.html,.html,9593,2026-09-11T23:08:23.783660,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_04.html,15_9_19_A_1997_10_04.html,.html,9593,2026-09-11T23:08:27.002147,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_05.html,15_9_19_A_1997_10_05.html,.html,11288,2026-09-11T23:08:30.006974,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_06.html,15_9_19_A_1997_10_06.html,.html,11451,2026-09-11T23:08:32.887793,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_07.html,15_9_19_A_1997_10_07.html,.html,11028,2026-09-11T23:08:36.107613,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_10_08.html,15_9_19_A_1997_10_08.html,.html,12923,2026-09-11T23:08:39.074650,text/html
